Timestamp,ESC_0_RPM,ESC_1_RPM,ESC_2_RPM,ESC_3_RPM,ESC_4_RPM,ESC_5_RPM,ESC_6_RPM,ESC_7_RPM
197788000,751,770,759,771,0,0,0,0
198036000,765,774,765,768,0,0,0,0
198288000,759,784,757,775,0,0,0,0
198536000,758,777,757,768,0,0,0,0
198788000,759,777,760,770,0,0,0,0
199036000,768,777,770,772,0,0,0,0
199288000,758,782,760,778,0,0,0,0
199536000,756,775,759,771,0,0,0,0
199788000,757,776,760,771,0,0,0,0
200036000,763,771,765,767,0,0,0,0
200288000,757,782,759,777,0,0,0,0
200532000,761,779,763,775,0,0,0,0
200784000,757,783,758,779,0,0,0,0
201036000,763,772,765,767,0,0,0,0
201284000,758,783,760,777,0,0,0,0
201536000,763,781,765,777,0,0,0,0
201788000,755,774,758,769,0,0,0,0
202036000,760,769,763,765,0,0,0,0
202288000,756,780,758,777,0,0,0,0
202532000,761,778,763,773,0,0,0,0
202788000,760,779,762,774,0,0,0,0
203036000,763,773,767,768,0,0,0,0
203284000,758,782,761,778,0,0,0,0
203532000,760,777,762,773,0,0,0,0
203788000,758,777,761,772,0,0,0,0
204036000,762,770,764,766,0,0,0,0
204284000,756,781,759,776,0,0,0,0
204532000,761,779,764,774,0,0,0,0
204788000,756,774,759,770,0,0,0,0
205036000,762,770,764,766,0,0,0,0
205288000,756,781,758,776,0,0,0,0
205532000,761,778,763,774,0,0,0,0
205788000,761,780,764,774,0,0,0,0
206036000,766,774,766,769,0,0,0,0
206288000,760,784,761,779,0,0,0,0
206536000,758,776,760,772,0,0,0,0
206788000,758,777,761,773,0,0,0,0
207036000,763,772,766,768,0,0,0,0
207288000,757,782,760,777,0,0,0,0
207532000,762,779,763,775,0,0,0,0
207784000,758,785,759,781,0,0,0,0
208036000,766,775,768,770,0,0,0,0
208288000,756,780,757,776,0,0,0,0
208536000,757,776,759,772,0,0,0,0
208788000,759,778,762,773,0,0,0,0
209036000,766,774,768,770,0,0,0,0
209284000,756,780,758,776,0,0,0,0
209536000,759,777,761,773,0,0,0,0
209788000,757,774,759,770,0,0,0,0
210036000,762,771,765,767,0,0,0,0
210288000,753,776,754,772,0,0,0,0
210536000,755,773,757,768,0,0,0,0
210784000,755,781,757,777,0,0,0,0
211036000,763,771,766,768,0,0,0,0
211284000,755,779,758,775,0,0,0,0
211536000,756,775,759,770,0,0,0,0
211788000,757,775,759,771,0,0,0,0
212036000,763,771,764,767,0,0,0,0
212284000,757,781,759,776,0,0,0,0
212532000,760,777,762,773,0,0,0,0
212788000,762,779,763,775,0,0,0,0
213036000,765,773,767,770,0,0,0,0
213284000,756,779,758,776,0,0,0,0
213536000,758,776,761,773,0,0,0,0
213788000,757,774,759,770,0,0,0,0
214036000,763,771,765,767,0,0,0,0
214288000,756,781,759,776,0,0,0,0
214536000,757,775,759,770,0,0,0,0
214788000,758,775,759,770,0,0,0,0
215036000,762,771,764,767,0,0,0,0
215288000,759,783,761,779,0,0,0,0
215532000,764,781,766,778,0,0,0,0
215788000,759,777,761,773,0,0,0,0
216036000,761,770,763,766,0,0,0,0
216288000,757,781,758,776,0,0,0,0
216536000,759,776,760,772,0,0,0,0
